3.85,-1.6,2.1,-1.3,6.4,4.9,0.7,-3.8,-2.6,5.5,6.6,1.7,-3.6,4.1,9.5,7,3.5,5.2,4.7,-3.7,0.3,3.6,6.8,-0.4,-0.9,14.6,14.4,-1.9,-23.8,-18,0,3.9,1.3,-3.7,-5.4,-9.2,0,23.8,28.5,4.7,-16,-19.6,5.8,13.9,16.5,0.7,-11.2,-13.3,4.4,2.3,-17.1,-14.4,21.3,34.2,53.7,11.5,-16.4,-19.5,9.7,70.9,53.9
3.8502,-1.2,0.1,-0.4,7.9,6.2,1,-4.4,0,5.6,8.6,2,-4,5.5,7.3,7.2,3.9,4.2,6.3,-3.2,-0.4,4.1,4.9,-0.4,-0.5,14.5,16.1,-1.5,-22.1,-17.2,1.8,2.8,0.9,-3.5,-6.9,-8.9,-0.9,22.8,30,4.4,-17.5,-20.4,6.6,13.4,16,0.2,-11.5,-14.9,3.1,2.6,-18.4,-14.3,21.9,34.6,53.5,10.3,-16.9,-18.5,11.5,72.9,54.6
3.8504,0.4,-0.1,-0.8,6.6,5.9,2.6,-3.8,1.6,6.5,6.5,1.5,-3.1,4.3,8,6.9,4.7,4.6,5.4,-2.6,0.3,5.9,5.2,1.4,2.2,15.9,15.7,-2.3,-21.1,-16.1,1.9,3.2,2.9,-3.4,-7.2,-7.8,-2,26.1,31.7,6.2,-14.6,-19.3,4.8,12,15.6,1.3,-10.9,-14.9,4.8,0.6,-17.4,-14.5,20.7,37.1,53.2,10.8,-16.8,-18,11.3,70.5,55.7
3.8506,-0.2,0.7,-1.3,7.1,5.7,2.1,-0.8,-0.5,6.9,7,2.6,-0.4,5.4,9.3,7.2,2.7,4.8,4.2,-1.5,1.4,4.3,6.6,1.6,0.2,13.9,14.2,-3.1,-23.3,-15.6,0.1,2.7,1.8,-5.9,-7,-9.2,-0.2,25.8,28.8,5.1,-17,-19.6,2.3,13.3,14.7,0.7,-12,-14.6,3.6,0.8,-16.8,-14.7,20.8,36.3,53.5,11,-17.4,-20.3,10.6,69.7,53.6
3.8508,0.7,-0.2,0.8,7.9,5.3,1.5,-0.9,-0.3,7.3,6.3,3,0.2,5.5,7.1,6.9,3.6,4.4,4.6,-2.1,-1.2,2.5,5.3,-0.2,0,15.5,16.8,0.4,-22.4,-14.2,2.2,4.8,2.9,-5.5,-9.3,-9.3,-1.3,24.2,28.4,4.2,-18.7,-20.7,3.4,12.9,15.6,-0.3,-12.6,-14.2,1.4,1.2,-18.8,-14.6,20.8,36.8,52.7,11.4,-19.6,-20.4,10,69.4,52.2
3.851,-0.8,-0.4,0.5,6.4,5.2,1.3,-2.9,-0.5,7.6,6.2,1.5,-1.3,3.8,8,6.1,5.9,4.4,4.7,-2.7,-0.1,3.6,5.3,-0.8,0.6,15.8,17.6,-0.8,-22.6,-15.9,1.9,4.9,2.7,-3.1,-7.3,-7.5,-0.3,25.8,29.5,5.7,-16.9,-19.9,2.2,11.1,16.2,-0.4,-13,-13.9,1.2,-1.1,-18.9,-14.7,19.1,35.8,52.9,8.7,-19.6,-19.2,9.5,69.4,55.2
3.8512,0.6,1.7,0.9,7.5,6.5,1.5,-1.6,0.8,7.7,8.2,1.4,0.9,6,10.3,6.3,3.6,4.9,3.6,-2,-0.2,4.1,7.5,0.2,0.6,14.8,17.8,-1.6,-23.6,-17.8,2.7,4,2.7,-4.1,-6.3,-7.9,-0.5,23.9,29.6,3.4,-18,-19.7,1.3,12,15.1,0.5,-14.2,-13.5,1.8,0.3,-17.5,-13.7,20,34.6,52.9,8,-17.9,-21,10.2,70.6,54.8
3.8514,2.3,1.1,0.3,8.1,6.3,1.4,-1.1,1.4,7.6,8.1,2.3,1.4,7.3,10.9,7.3,3.2,7,4,-2,-1.1,4.2,8.2,1.1,2,17.1,17.4,0.5,-21.1,-16.7,2.7,3.9,3.6,-4.6,-7.9,-9.1,-2.6,23.8,29.6,2.5,-18.8,-19.1,5.3,12.8,15.4,1.3,-12.7,-13.3,4.1,2.3,-17.1,-14.3,21.4,34.9,51.9,11.7,-17.5,-19.4,10.4,69.5,53.2
3.8516,-1,0.3,-0.5,6.1,6.9,1.8,-2.2,-0.6,7.9,7.4,3,-1.1,6.8,10.2,8,6.4,4.6,4.8,-1.8,0.9,4.7,6.5,-0.5,0.9,15.6,15.9,-2.6,-21.5,-15.4,-1.1,3.1,3.7,-5.1,-7.2,-11.1,-2.8,24.6,29.2,3,-18.3,-18.3,6.1,14.1,17,1,-10.7,-12,4.4,1.9,-16.3,-15.2,21.3,35.7,52.7,10.3,-17.5,-19.9,9,67.6,52.8
3.8518,-0.4,0.9,-0.3,4.8,5.7,1.1,-3.5,0.3,8.2,7.3,2.6,0,5.3,7.9,7.4,5.2,3.1,3.4,-2.8,0.4,5.3,5,0.5,-1.5,12.9,15.1,-2.5,-23.5,-16.9,0.2,3,2.5,-6.4,-7.4,-10.3,-1.8,22.8,29,2.8,-17.2,-19.1,4.5,13.2,14.8,0.6,-12.5,-14.2,3.5,1.5,-18.4,-14.8,21.1,36.2,51.1,10.1,-17.2,-20.3,10.6,69.3,52.5
3.852,-0.6,-0.8,-0.8,5.3,6.5,0,-1.5,0.6,7.8,7.6,1.3,0.4,6,8.3,5.9,3.8,5,5.2,-3.4,1.1,5.7,6.9,2.3,1,13.5,14.6,-2.1,-21.7,-18.2,0.4,3,1.1,-6.4,-7.3,-8.8,-1,23.7,28.9,3.8,-17.9,-18.7,5.7,13.2,16,1.2,-13.2,-14,3.5,1.4,-18.4,-14.6,20.6,34.7,50.9,11,-17.3,-18.6,11.2,68.4,53.6
3.8522,-0.6,0.7,0.2,5.8,8.9,1.7,-0.3,-0.9,7.4,7,0.5,-1.5,7,9.1,5.5,3.9,3.7,6.2,-2.3,-0.3,4.8,8.1,0.1,1.7,15.1,16.3,-2.6,-20.9,-17.1,-0.4,4.6,1.5,-4.5,-6.4,-9.4,-0.2,23.9,29.2,4.1,-18.3,-16.6,6,15.4,19.6,0.8,-11.1,-11.1,5.1,3.4,-16.6,-13.6,20.7,34.6,52.4,10,-17.6,-20.8,9.6,66.9,52.6
3.8524,2.5,0.2,0.8,6.3,6.3,1.7,-2.6,-0.3,7.6,7.1,1.3,-2.7,5.1,6.9,6.5,4.5,2.6,2.7,-2.4,-1.8,4.2,7.1,0.3,-0.7,15.6,16.4,-0.8,-23.2,-16.1,2.6,4.8,1.7,-4.4,-5.7,-8.2,-0.7,23.5,28.8,4,-16.9,-18.1,4.9,13.5,15.8,-1.1,-12.7,-11.7,4.3,2.2,-17.5,-15.7,18.2,35.1,49.6,10.6,-17.5,-19.8,11.6,70.5,53.5
3.8526,0.1,0,1.7,6.8,6.3,1.8,-2.4,-0.4,7.3,8.5,1.7,-1.9,6.6,8.4,6.9,4.5,4.7,3.7,-2.8,0.7,4.4,6.9,1.9,1.3,14.1,14.6,-2.2,-24,-16,1.9,4,1.5,-6.3,-7.3,-7.8,-3,24.4,29.1,4.3,-16.4,-18.4,6.3,13.9,14.7,1.7,-12.6,-11.5,3.3,0,-15.1,-16.1,16.9,33.5,48.3,9.1,-16.1,-16.7,10.4,69.7,54.2
